num_agents,fault_count,success,duration,total_distance,avg_distance,gini_index,reallocation_time,cost_efficiency,recovery_count,crashed_count,total_bids,bids_per_auction,wasted_attempts,map_coverage,scenario_tag,scenario,trial
8,1,True,354.6333333333333,620.8081264306163,77.60101580382704,0.14583333333333334,33.132916666666674,2.2979245283018868,4,2,13752,8.0,3,70.3125,Fault_1,FaultTolerance,24
8,1,True,570.2833333333333,737.4247072063396,92.17808840079245,0.2,68.94185606060606,2.3317187500000003,17,1,14512,8.0,2,90.625,Fault_1,FaultTolerance,25
8,1,True,469.43333333333334,682.4497032521424,85.3062129065178,0.2037037037037037,79.96416666666667,2.355967741935484,10,5,14712,8.0,0,84.375,Fault_1,FaultTolerance,26
8,1,False,1666.6666666666667,1006.8154729620445,125.85193412025556,0.27205882352941174,73.5540064102564,2.2866666666666666,26,0,14912,8.0,4,100.0,Fault_1,FaultTolerance,27
8,1,True,385.06666666666666,668.1543457794365,83.51929322242957,0.125,14.442187499999996,2.2935000000000003,12,2,14088,8.0,3,81.25,Fault_1,FaultTolerance,28
8,1,True,124.93333333333334,261.5686884369419,32.69608605461774,0.20833333333333334,0.0,2.133,0,2,5680,8.0,0,18.75,Fault_1,FaultTolerance,29
8,2,True,312.26666666666665,514.5378590442235,64.31723238052794,0.25,5.706818181818179,2.2696000000000005,4,0,12840,8.0,0,65.625,Fault_2,FaultTolerance,0
8,2,True,556.1166666666667,736.0775181255908,92.00968976569885,0.26666666666666666,29.507371794871794,2.3155384615384618,23,0,14680,8.0,2,90.625,Fault_2,FaultTolerance,1
8,2,True,188.51666666666668,335.18347211518216,41.89793401439777,0.25,0.0,2.206551724137931,0,0,7728,8.0,0,32.8125,Fault_2,FaultTolerance,2
8,2,True,973.5666666666667,807.5541352884707,100.94426691105883,0.3392857142857143,68.1657608695652,2.280327868852459,22,2,15176,8.0,0,87.5,Fault_2,FaultTolerance,3
8,2,True,131.76666666666668,245.484872831224,30.685609103903,0.25,0.0,2.1424999999999996,0,1,5264,8.0,0,18.75,Fault_2,FaultTolerance,4
8,2,True,459.7,647.528996304956,80.9411245381195,0.30092592592592593,21.951449275362314,2.2923333333333336,19,0,14304,8.0,1,82.8125,Fault_2,FaultTolerance,5
8,2,False,1666.6666666666667,816.3197823265359,102.03997279081699,0.30223880597014924,104.22338709677419,2.3136619718309865,25,0,15328,8.0,3,100.0,Fault_2,FaultTolerance,6
8,2,True,224.38333333333333,390.75482759124844,48.844353448906055,0.25,0.0,2.2184848484848487,0,0,8800,8.0,0,39.0625,Fault_2,FaultTolerance,7
8,2,True,210.1,367.0740815858496,45.8842601982312,0.25,0.0,2.195625,0,0,8544,8.0,0,37.5,Fault_2,FaultTolerance,8
8,2,True,294.4166666666667,495.99796638496497,61.99974579812062,0.25,2.168749999999998,2.2890909090909095,1,0,11896,8.0,0,56.25,Fault_2,FaultTolerance,9
8,2,True,238.1,398.9299628048847,49.86624535061059,0.25,0.0,2.2270270270270274,0,0,9960,8.0,0,46.875,Fault_2,FaultTolerance,10
8,2,True,680.5166666666667,753.4949585463452,94.18686981829315,0.2543859649122807,28.60113636363636,2.2415000000000007,21,0,14712,8.0,2,85.9375,Fault_2,FaultTolerance,11
8,2,True,214.65,375.0829705457946,46.88537131822432,0.25,0.0,2.2339393939393943,0,0,8800,8.0,0,39.0625,Fault_2,FaultTolerance,12
